iter	Passed	Remaining
650	2436	1306
651	2440	1302
652	2443	1298
653	2447	1294
654	2450	1290
655	2454	1287
656	2457	1282
657	2461	1279
658	2465	1275
659	2468	1271
660	2473	1268
661	2476	1264
662	2480	1260
663	2483	1256
664	2487	1252
665	2491	1249
666	2495	1245
667	2498	1242
668	2502	1238
669	2506	1234
670	2510	1230
671	2513	1226
672	2517	1223
673	2520	1219
674	2523	1215
675	2527	1211
676	2531	1207
677	2534	1203
678	2539	1200
679	2542	1196
680	2546	1192
681	2550	1189
682	2553	1185
683	2557	1181
684	2561	1178
685	2565	1174
686	2568	1170
687	2572	1166
688	2575	1162
689	2579	1158
690	2582	1155
691	2586	1151
692	2589	1147
693	2593	1143
694	2596	1139
695	2600	1135
696	2603	1131
697	2607	1128
698	2611	1124
699	2614	1120
700	2618	1116
701	2622	1113
702	2625	1109
703	2630	1105
704	2634	1102
705	2637	1098
706	2641	1094
707	2645	1091
708	2648	1087
709	2652	1083
710	2656	1079
711	2660	1075
712	2663	1072
713	2667	1068
714	2671	1064
715	2674	1060
716	2677	1056
717	2681	1053
718	2685	1049
719	2688	1045
720	2692	1041
721	2696	1038
722	2699	1034
723	2702	1030
724	2706	1026
725	2710	1022
726	2714	1019
727	2718	1015
728	2721	1011
729	2725	1008
730	2728	1004
731	2732	1000
732	2736	996
733	2739	992
734	2743	989
735	2747	985
736	2750	981
737	2754	977
738	2757	974
739	2761	970
740	2764	966
741	2768	962
742	2771	958
743	2775	954
744	2778	951
745	2782	947
746	2785	943
747	2789	939
748	2792	935
749	2796	932
750	2799	928
751	2803	924
752	2806	920
753	2810	916
754	2813	912
755	2816	909
756	2819	905
757	2823	901
758	2826	897
759	2830	893
760	2833	889
761	2836	886
762	2840	882
763	2845	879
764	2849	875
765	2853	871
766	2856	867
767	2860	864
768	2864	860
769	2868	856
770	2872	853
771	2876	849
772	2879	845
773	2883	841
774	2886	838
775	2891	834
776	2894	830
777	2898	827
778	2902	823
779	2906	819
780	2910	816
781	2914	812
782	2918	808
783	2922	805
784	2925	801
785	2929	797
786	2933	793
787	2936	790
788	2940	786
789	2944	782
790	2948	778
791	2951	775
792	2955	771
793	2959	767
794	2963	764
795	2966	760
796	2970	756
797	2974	752
798	2978	749
799	2981	745
800	2985	741
801	2989	737
802	2992	734
803	2995	730
804	2999	726
805	3003	722
806	3006	719
807	3010	715
808	3013	711
809	3017	707
810	3021	704
811	3024	700
812	3028	696
813	3031	692
814	3035	689
815	3039	685
816	3042	681
817	3046	677
818	3050	674
819	3053	670
820	3057	666
821	3061	662
822	3064	659
823	3068	655
824	3071	651
825	3075	647
826	3078	644
827	3082	640
828	3086	636
829	3089	632
830	3093	629
831	3096	625
832	3100	621
833	3104	617
834	3107	614
835	3112	610
836	3116	606
837	3120	603
838	3124	599
839	3128	595
840	3133	592
841	3136	588
842	3140	584
843	3144	581
844	3148	577
845	3152	573
846	3155	570
847	3161	566
848	3164	562
849	3168	559
850	3172	555
851	3175	551
852	3178	547
853	3182	544
854	3185	540
855	3189	536
856	3192	532
857	3196	528
858	3200	525
859	3203	521
860	3206	517
861	3210	513
862	3213	510
863	3217	506
864	3220	502
865	3223	498
866	3227	495
867	3230	491
868	3234	487
869	3237	483
870	3241	480
871	3244	476
872	3248	472
873	3251	468
874	3255	465
875	3258	461
876	3261	457
877	3266	453
878	3269	450
879	3273	446
880	3276	442
881	3280	438
882	3283	435
883	3287	431
884	3291	427
885	3295	423
886	3298	420
887	3303	416
888	3306	412
889	3310	409
890	3313	405
891	3317	401
892	3320	397
893	3323	394
894	3327	390
895	3330	386
896	3334	382
897	3337	379
898	3341	375
899	3344	371
900	3348	367
901	3351	364
902	3355	360
903	3359	356
904	3362	352
905	3366	349
906	3370	345
907	3374	341
908	3377	338
909	3381	334
910	3385	330
911	3388	326
912	3391	323
913	3395	319
914	3398	315
915	3402	311
916	3405	308
917	3409	304
918	3412	300
919	3416	297
920	3420	293
921	3424	289
922	3428	285
923	3431	282
924	3435	278
925	3438	274
926	3441	271
927	3445	267
928	3449	263
929	3452	259
930	3456	256
931	3459	252
932	3462	248
933	3466	244
934	3469	241
935	3473	237
936	3477	233
937	3480	230
938	3484	226
939	3487	222
940	3491	218
941	3494	215
942	3497	211
943	3501	207
944	3504	203
945	3507	200
946	3511	196
947	3514	192
948	3517	189
949	3521	185
950	3524	181
951	3528	177
952	3531	174
953	3534	170
954	3537	166
955	3541	162
956	3544	159
957	3547	155
958	3551	151
959	3554	148
960	3557	144
961	3560	140
962	3564	136
963	3567	133
964	3571	129
965	3575	125
966	3578	122
967	3581	118
968	3585	114
969	3589	111
970	3592	107
971	3596	103
972	3599	99
973	3603	96
974	3606	92
975	3610	88
976	3613	85
977	3617	81
978	3621	77
979	3624	73
980	3628	70
981	3632	66
982	3636	62
983	3639	59
984	3643	55
985	3647	51
986	3650	48
987	3654	44
988	3658	40
989	3662	36
990	3665	33
991	3669	29
992	3672	25
993	3676	22
994	3680	18
995	3683	14
996	3687	11
997	3690	7
998	3694	3
999	3698	0
